date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:08:16	52897/52897	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Nov%202022%2017:54:33%20GMT	https://kalanidhithemes.com/live-preview/landing-page/apper/all-demo/06-app-landing-page-video-hero-full-background/index.html	C:/Users/ADMIN/OneDrive/Desktop/cntt/kalanidhithemes.com/live-preview/landing-page/apper/all-demo/06-app-landing-page-video-hero-full-background/index.html	(from )
22:08:17	358/358	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2028%20May%202021%2012:37:54%20GMT	https://kalanidhithemes.com/robots.txt		(from )
22:08:18	3351/3351	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Nov%202022%2017:54:33%20GMT	https://kalanidhithemes.com/live-preview/landing-page/apper/all-demo/06-app-landing-page-video-hero-full-background/css/owl.carousel.min.css	C:/Users/ADMIN/OneDrive/Desktop/cntt/kalanidhithemes.com/live-preview/landing-page/apper/all-demo/06-app-landing-page-video-hero-full-background/css/owl.carousel.min.css	(from https://kalanidhithemes.com/live-preview/landing-page/apper/all-demo/06-app-landing-page-video-hero-full-background/index.html)
22:08:19	92214/92214	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Nov%202022%2017:54:33%20GMT	https://kalanidhithemes.com/live-preview/landing-page/apper/all-demo/06-app-landing-page-video-hero-full-background/css/icofont.min.css	C:/Users/ADMIN/OneDrive/Desktop/cntt/kalanidhithemes.com/live-preview/landing-page/apper/all-demo/06-app-landing-page-video-hero-full-background/css/icofont.min.css	(from https://kalanidhithemes.com/live-preview/landing-page/apper/all-demo/06-app-landing-page-video-hero-full-background/index.html)
22:08:20	26053/26053	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Nov%202022%2017:54:33%20GMT	https://kalanidhithemes.com/live-preview/landing-page/apper/all-demo/06-app-landing-page-video-hero-full-background/css/aos.css	C:/Users/ADMIN/OneDrive/Desktop/cntt/kalanidhithemes.com/live-preview/landing-page/apper/all-demo/06-app-landing-page-video-hero-full-background/css/aos.css	(from https://kalanidhithemes.com/live-preview/landing-page/apper/all-demo/06-app-landing-page-video-hero-full-background/index.html)
22:08:21	162017/162017	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Nov%202022%2017:54:33%20GMT	https://kalanidhithemes.com/live-preview/landing-page/apper/all-demo/06-app-landing-page-video-hero-full-background/css/bootstrap.min.css	C:/Users/ADMIN/OneDrive/Desktop/cntt/kalanidhithemes.com/live-preview/landing-page/apper/all-demo/06-app-landing-page-video-hero-full-background/css/bootstrap.min.css	(from https://kalanidhithemes.com/live-preview/landing-page/apper/all-demo/06-app-landing-page-video-hero-full-background/index.html)
22:08:22	21898/21898	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Nov%202022%2017:54:33%20GMT	https://kalanidhithemes.com/live-preview/landing-page/apper/all-demo/06-app-landing-page-video-hero-full-background/css/responsive.css	C:/Users/ADMIN/OneDrive/Desktop/cntt/kalanidhithemes.com/live-preview/landing-page/apper/all-demo/06-app-landing-page-video-hero-full-background/css/responsive.css	(from https://kalanidhithemes.com/live-preview/landing-page/apper/all-demo/06-app-landing-page-video-hero-full-background/index.html)
22:08:23	1621/1621	---M--	200	added ('OK')	image/png	date:Wed,%2002%20Nov%202022%2017:54:43%20GMT	https://kalanidhithemes.com/live-preview/landing-page/apper/all-demo/06-app-landing-page-video-hero-full-background/images/favicon.png	C:/Users/ADMIN/OneDrive/Desktop/cntt/kalanidhithemes.com/live-preview/landing-page/apper/all-demo/06-app-landing-page-video-hero-full-background/images/favicon.png	(from https://kalanidhithemes.com/live-preview/landing-page/apper/all-demo/06-app-landing-page-video-hero-full-background/index.html)
22:08:23	73295/73295	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Nov%202022%2017:54:33%20GMT	https://kalanidhithemes.com/live-preview/landing-page/apper/all-demo/06-app-landing-page-video-hero-full-background/css/style.css	C:/Users/ADMIN/OneDrive/Desktop/cntt/kalanidhithemes.com/live-preview/landing-page/apper/all-demo/06-app-landing-page-video-hero-full-background/css/style.css	(from https://kalanidhithemes.com/live-preview/landing-page/apper/all-demo/06-app-landing-page-video-hero-full-background/index.html)
22:08:24	2219/2219	---M--	200	added ('OK')	image/png	date:Wed,%2002%20Nov%202022%2017:54:46%20GMT	https://kalanidhithemes.com/live-preview/landing-page/apper/all-demo/06-app-landing-page-video-hero-full-background/images/logo.png	C:/Users/ADMIN/OneDrive/Desktop/cntt/kalanidhithemes.com/live-preview/landing-page/apper/all-demo/06-app-landing-page-video-hero-full-background/images/logo.png	(from https://kalanidhithemes.com/live-preview/landing-page/apper/all-demo/06-app-landing-page-video-hero-full-background/index.html)
